Source,Interaction,Target ,,,
I,Subject,'m,,,
there,Subject,is,,,
anything,Subject,is,,,
this,Subject,goes,,,
all,Subject,are,,,
the,Subject,scared,,,
they,Subject,are,,,
the,Subject,went,,,
the,Subject,got,,,
the,Subject,called,,,
they,Subject,came,,,
they,Subject,picked,,,
the,Subject,came,,,
everything,Subject,was,,,
that,Subject,is,,,
us,Subject,let,,,
that,Subject,is,,,
the,Subject,is,,,
the,Subject,is,,,
he,Subject,is,,,
the,Subject,is,,,
the,Subject,is,,,
the,Subject,is,,,
he,Subject,can,,,
he,Subject,can,,,
I,Subject,call,,,
your,Subject,got,,,
we,Subject,pick,,,
he,Subject,is,,,
I,Subject,think,,,
she,Subject,is,,,
I,Subject,can,,,
she,Subject,can,,,
I,Subject,do,,,
she,Subject,can,,,
she,Subject,is,,,
the,Subject,is,,,
he,Subject,is,,,
she,Subject,is,,,
she,Subject,will,,,
he,Subject,is,,,
they,Subject,are,,,
the,Subject,is,,,
the,Subject,is,,,
you,Subject,did,,,
that,Subject,is,,,
he,Subject,is,,,
the,Subject,is,,,
monkeys,Subject,do,,,
that,Subject,would,,,
a,Subject,was,,,
I,Subject,'m,,,
you,Subject,should,,,
she,Subject,can,,,
she,Subject,is,,,
they,Subject,are,,,
the,Subject,put,,,
we,Subject,need,,,
we,Subject,are,,,
he,Subject,is,,,
I,Subject,think,,,
I,Subject,will,,,
I,Subject,know,,,
we,Subject,went,,,
we,Subject,went,,,
I,Subject,think,,,
we,Subject,came,,,
I,Subject,do,,,
I,Subject,think,,,
I,Subject,forget,,,
I,Subject,think,,,
I,Subject,'m,,,
a,Subject,is,,,
you,Subject,want,,,
I,Subject,guess,,,
I,Subject,'m,,,
I,Subject,did,,,
I,Subject,would,,,
I,Subject,am,,,
I,Subject,'m,,,
I,Subject,wanna,,,
I,Subject,'m,,,
you,Subject,are,,,
a,Subject,eating,,,
that,Subject,is,,,
you,Subject,just,,,
I,Subject,'m,,,
I,Subject,'m,,,
you,Subject,are,,,
we,Subject,need,,,
the,Subject,is,,,
he,Subject,is,,,
this,Subject,is,,,
this,Subject,is,,,
I,Subject,forgot,,,
it,Subject,was,,,
I,Subject,was,,,
I,Subject,thought,,,
it,Subject,might,,,
I,Subject,could,,,
we,Subject,seen,,,
we,Subject,seen,,,
I,Subject,said,,,
we,Subject,seen,,,
I,Subject,think,,,
that,Subject,is,,,
I,Subject,saw,,,
I,Subject,'m,,,
that,Subject,is,,,
Max,Subject,went,,,
frog,Subject,catching,,,
he,Subject,brungin,,,
he,Subject,saw,,,
and,Subject,jumped,,,
his,Subject,is,,,
Bob,Subject,was,,,
he,Subject,saw,,,
the,Subject,blew,,,
he,Subject,shouted,,,
he,Subject,looked,,,
there,Subject,were,,,
no,Subject,were,,,
he,Subject,ran,,,
it,,,,,
blank,,,,,
well,,,,,
yes,,,,,
frenchfrys,,,,,
well,,,,,
shampoo,,,,,
toothpaste,,,,,
whoops,,,,,
look,,,,,
brownie,,,,,
maybe,,,,,
look,,,,,
not,,,,,
not,,,,,
we,,,,,
so,,,,,
